Number,Extractant,Extractant Name,Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,Spectator Ions,Chemical Groups,Acid Molarity,Extraction Efficiency
34,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,88.4
35,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
36,1d,,4,H,(CH2)2P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,2.6
37,1d,,4,H,(CH2)2P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,46.9
38,1d,,4,H,(CH2)2P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,79.8
39,1d,,4,H,(CH2)2P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
40,1d,,4,H,(CH2)2P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
41,1d,,4,H,(CH2)2P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
42,1d,,4,H,(CH2)2P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,24.6
43,1e,,6,H,(CH2)2P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,9.4
44,1e,,6,H,(CH2)2P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,79.4
45,1e,,6,H,(CH2)2P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,94.8
46,1e,,6,H,(CH2)2P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
47,1e,,6,H,(CH2)2P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
48,1e,,6,H,(CH2)2P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
49,1e,,6,H,(CH2)2P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,94.3
50,1f,,8,H,(CH2)2P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,5.1
51,1f,,8,H,(CH2)2P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,62.6
52,1f,,8,H,(CH2)2P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,87.9
53,1f,,8,H,(CH2)2P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
54,1f,,8,H,(CH2)2P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
55,1f,,8,H,(CH2)2P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
56,1f,,8,H,(CH2)2P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,92
57,2a,,4,t-butyl,(CH2)P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
58,2a,,4,t-butyl,(CH2)P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,31.5
59,2a,,4,t-butyl,(CH2)P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,55.5
60,2a,,4,t-butyl,(CH2)P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
61,2a,,4,t-butyl,(CH2)P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
62,2a,,4,t-butyl,(CH2)P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
63,2a,,4,t-butyl,(CH2)P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,86.2
64,4a,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,20
65,4a,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
66,4a,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
67,4a,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
68,4a,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
69,4a,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
70,4a,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,97
71,4b,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
72,4b,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
73,4b,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,38
74,4b,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
75,4b,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
76,4b,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
77,4b,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,8
78,4c,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
79,4c,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
